product,rating,rating count,price,description
Jaspo Dominator-x Senior Plastic Cricket Full Size Bat (34” X 4.5” inch) for All Age Group with Soft Cricket Ball (Dominator-BAT) ,4.1 out of 5 stars,685  ,445,No description available
"Jaspo Slog Heavy Duty Plastic Cricket Bat,Full Size (34” X 4.5”inches) Premium Bat for All Age Groups – Kids/Boys/Girls/Adults ",4.1 out of 5 stars,4.1 out of 5 stars ,389,No description available
"Jaspo 7 Enforcers Heavy Duty Plastic Cricket Bat,Full Size (34” X 4.5”inches) Premium Bat for All Age Groups – Kids/Boys/Girls/Adults (7 ENFORCERS) ",5.0 out of 5 stars,1  ,464,No description available
"Boldfit Turf Bat Cricket for Adults Plastic Tennis Cricket Bat for Mens Heavy Plastic Cricket Bats with Grip for Gully Cricket, Tournament Match Standard Full Size Tennis Ball Bat for Cricket - Black ",4.2 out of 5 stars,310  ,397,No description available
"Jaspo Slog Heavy Duty Plastic Cricket Bat,Full Size (34” X 4.5”inches) Premium Bat for All Age Groups – Kids/Boys/Girls/Adults ",4.1 out of 5 stars,4.1 out of 5 stars ,389,No description available
"Ske Popular Willow Cricket Bat With Bat Cover For Men'S And Adult All Tennis Ball (Natural, Full Size), Wood, Multicolour ",3.3 out of 5 stars,"1,269  ",439,"Light weight bats and Great pick up, highly recommended for acadmey training. perfect for subcontinental pitches. And every bat also comes fitted with a toughened toe guard for extra protection and durability.Latest design will help the individual adapt comfortably for all formats of game i.e T20 for quick hitting,Hand made bats mostly gives better performance than the bats made using other mechanisms as the balance of such bats is much better because they go through multiple manual quality checks while the process of making, which is not practically possible in other bat making mechanisms.An Expertly Crafted Lightweight Bat Made From Super Premium Popular Willow. Made For Light Tennis Ball Cricket. The Aerodynamically Designed Long Cane Handle And Broad Face Makes The Hawk Light On Pickup And Helps Deliver Canny Deflections And Whiplash Strokes On Every Backyard, Street or Ground. Just Mind The Windows. The Curved Long Handle Profile Of The Bat Is Suited For Dhoni Style Helicopter Shots."
"JRS S014 M Popular Willow Cricket Bat Size 6 (12-14 Year Year Old Kids) with Ball Pack of 1, Wooden Cricket bat ",3.3 out of 5 stars,261  ,449,Explore a wide range of Cricket bat for Kids from the house of JRS available on Amazon.
Jaspo Dominator-x Senior Plastic Cricket Full Size Bat (34” X 4.5” inch) for All Age Group with Soft Cricket Ball (Dominator-BAT) ,4.1 out of 5 stars,685  ,445,No description available
"RS Sports Wooden Cricket Bat for Boys 9-14 Years, Size-5 (1 Bat, 1 Ball and Stump Set) ",3.1 out of 5 stars,14  ,599,The blade of the bat is made of Popular willow which is extremely hardy. The crickets with extra thick edges for good pickup and is shaped after top range bats. The bat absorbs shock well too preventing damage and strain to your hands in the long run. Popular willow Cricket Bat playing above 8+ years boys & girls The bat is meant for playing with light weight tennis ball only. Made of popular willow Light Weight Cricket Bat Perfect bat for the modern day batsmen looking to play all round the wicket. Size: short handle.
"SG Prokick Kashmir Willow Cricket Bat, Short Handle Mens ",3.9 out of 5 stars,61  ,"1,774",No description available
