product,rating,rating count,price(inr),description
"Samsung Galaxy M34 5G (Prism Silver, 8GB, 128GB Storage) | 120Hz sAMOLED Display | 50MP Triple No Shake Cam | 6000 mAh Battery | 16GB RAM with RAM Plus | Android 13 | Without Charger  ",3.7 out of 5 stars,526  ,"20,999",No description available
"Samsung Galaxy M14 5G (Berry Blue, 6GB, 128GB Storage) | 50MP Triple Cam | 6000 mAh Battery | 5nm Octa-Core Processor | 12GB RAM with RAM Plus | Android 13 | Without Charger  ",3.9 out of 5 stars,"5,412  ","15,490",No description available
"Samsung Galaxy M33 5G (Deep Ocean Blue, 8GB, 128GB Storage) | 6000mAh Battery | Upto 16GB RAM with RAM Plus | Without Charger  ",4.1 out of 5 stars,"31,290  ","16,999",No description available
"Samsung Galaxy M04 Light Green, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera  ",3.9 out of 5 stars,"9,235  ","8,099",No description available
"Samsung Galaxy M14 5G (ICY Silver, 4GB, 128GB Storage) | 50MP Triple Cam | 6000 mAh Battery | 5nm Octa-Core Processor | Android 13 | Without Charger  ",3.9 out of 5 stars,"5,412  ","14,990",No description available
"Samsung Galaxy M33 5G (Mystique Green, 8GB, 128GB Storage) | 6000mAh Battery | Upto 16GB RAM with RAM Plus | Without Charger  ",4.1 out of 5 stars,"31,290  ","16,999",No description available
"Samsung Galaxy M04 Dark Blue, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera  ",3.9 out of 5 stars,"9,235  ","8,099",No description available
"Samsung Galaxy A14 5G (Black, 6GB, 128GB Storage) | Triple Rear Camera (50 MP Main) | Upto 12 GB RAM with RAM Plus | Without Charger  ",3.8 out of 5 stars,558  ,"17,999",No description available
"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus  ",4.1 out of 5 stars,"25,322  ","9,649",No description available
"Samsung Galaxy M34 5G (Waterfall Blue, 6GB, 128GB Storage) | 120Hz sAMOLED Display | 50MP Triple No Shake Cam | 6000 mAh Battery | 12GB RAM with RAM Plus | Android 13 | Without Charger  ",3.7 out of 5 stars,526  ,"18,999",No description available
"Vivo Y100 5G (Metal Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers  ",4.0 out of 5 stars,220  ,"23,999",No description available
"Redmi 12C (Royal Blue, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery  ",3.9 out of 5 stars,"4,137  ","7,699",No description available
"Samsung Galaxy S20 FE 5G (Cloud Navy, 8GB RAM, 128GB Storage) with No Cost EMI & Additional Exchange Offers  ",4.2 out of 5 stars,"32,517  ","26,999",No description available
"Samsung Galaxy M13 (Midnight Blue, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus  ",4.1 out of 5 stars,"25,322  ","11,649",No description available
"Samsung Galaxy A34 5G (Awesome Violet, 8GB, 256GB Storage) | 48 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Travel Adapter to be Purchased Separately  ",4.0 out of 5 stars,396  ,"32,999",No description available
"Samsung Galaxy S20 FE 5G (Cloud Mint, 8GB RAM, 128GB Storage)  ",4.2 out of 5 stars,"32,517  ","26,999",No description available
"Samsung Galaxy A34 5G (Awesome Lime, 8GB, 256GB Storage) | 48 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Without Charger  ",4.0 out of 5 stars,396  ,"32,999",No description available
"Samsung Galaxy M34 5G (Midnight Blue, 8GB, 128GB Storage) | 120Hz sAMOLED Display | 50MP Triple No Shake Cam | 6000 mAh Battery | 16GB RAM with RAM Plus | Android 13 | Without Charger  ",3.7 out of 5 stars,526  ,"20,999",No description available
"Samsung Galaxy M32 Prime Edition (Black, 6GB RAM, 128GB)  ",4.1 out of 5 stars,"60,644  ","13,499",No description available
"Samsung Galaxy M34 5G (Waterfall Blue, 8GB, 128GB Storage) | 120Hz sAMOLED Display | 50MP Triple No Shake Cam | 6000 mAh Battery | 16GB RAM with RAM Plus | Android 13 | Without Charger  ",3.7 out of 5 stars,526  ,"20,999",No description available
"TECNO Phantom V Fold 5G Black (12GB RAM,256GB Storage) | The First Full Size Fold | LTPO AMOLED Display | 4nm D9000+ Fast Processor  ",4.3 out of 5 stars,262  ,"88,888",No description available
"Lava Blaze 5G (Glass Green, 8GB RAM, UFS 2.2 128GB Storage) | 5G Ready | 50MP AI Triple Camera | Upto 16GB Expandable RAM | Charger Included | Clean Android (No Bloatware)  ",4.0 out of 5 stars,"4,044  ","12,299",No description available
"Samsung Galaxy M34 5G (Prism Silver, 6GB, 128GB Storage) | 120Hz sAMOLED Display | 50MP Triple No Shake Cam | 6000 mAh Battery | 12GB RAM with RAM Plus | Android 13 | Without Charger ",3.7 out of 5 stars,526  ,"18,999",No description available
"Samsung Galaxy M14 5G (ICY Silver, 6GB, 128GB Storage) | 50MP Triple Cam | 6000 mAh Battery | 5nm Octa-Core Processor | 12GB RAM with RAM Plus | Android 13 | Without Charger ",3.9 out of 5 stars,"5,412  ","15,490",No description available
"Samsung Galaxy A54 5G (Awesome Graphite, 8GB, 256GB Storage) | 50 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Without Charger ",4.0 out of 5 stars,203  ,"40,999",No description available
"Samsung Galaxy M13 (Stardust Brown, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus ",4.1 out of 5 stars,"25,322  ","11,649",No description available
"Samsung Galaxy Note10+ (Aura Black, 12GB RAM, 256GB Storage) ",4.4 out of 5 stars,677  ,"54,690",No description available
"Samsung Galaxy A23 5G, Light Blue (8GB, 128GB Storage) with Offer ",3.8 out of 5 stars,416  ,"23,999",No description available
"Samsung Galaxy S23 5G (Green, 8GB, 128GB Storage) ",4.5 out of 5 stars,694  ,"74,998",No description available
"Samsung Galaxy A14 5G (Light Green, 6GB, 128GB Storage) | Triple Rear Camera (50 MP Main) | Upto 12 GB RAM with RAM Plus | Without Charger ",3.8 out of 5 stars,558  ,"17,999",No description available
"Samsung Galaxy A14 5G (Dark Red, 8GB, 128GB Storage) | Triple Rear Camera (50 MP Main) | Upto 16 GB RAM with RAM Plus | Without Charger ",3.8 out of 5 stars,558  ,"19,999",No description available
"Samsung Galaxy A54 5G (Awesome Violet, 8GB, 256GB Storage) | 50 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Without Charger ",4.0 out of 5 stars,203  ,"40,999",No description available
"Lava Blaze 5G (Glass Green, 8GB RAM, UFS 2.2 128GB Storage) | 5G Ready | 50MP AI Triple Camera | Upto 16GB Expandable RAM | Charger Included | Clean Android (No Bloatware) ",4.0 out of 5 stars,"4,044  ","12,299",No description available
"Vivo Y100 5G (Twilight Gold, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers ",4.0 out of 5 stars,220  ,"23,999",No description available
"Samsung Galaxy A14 5G (Light Green, 4GB, 64GB Storage) | Triple Rear Camera (50 MP Main) | Upto 8 GB RAM with RAM Plus | Without Charger ",3.8 out of 5 stars,558  ,"15,998",No description available
"Samsung Galaxy A23 5G, Silver (8GB, 128GB Storage) with Offer ",3.8 out of 5 stars,416  ,"23,999",No description available
"Samsung Galaxy S22 Ultra 5G (Burgundy, 12GB, 256GB Storage) with No Cost EMI/Additional Exchange Offers ",4.4 out of 5 stars,"1,469  ","94,999",No description available
"Samsung Galaxy S22 5G (Phantom White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers ",4.3 out of 5 stars,"1,227  ","62,999",No description available
"Samsung Galaxy S23 5G (Cream, 8GB, 128GB Storage) ",4.5 out of 5 stars,694  ,"74,998",No description available
"Samsung Galaxy S23 5G (Green, 8GB, 256GB Storage) ",4.5 out of 5 stars,4.5 out of 5 stars ,"79,999",No description available
"Samsung Galaxy M34 5G (Prism Silver, 8GB, 128GB Storage) | 120Hz sAMOLED Display | 50MP Triple No Shake Cam | 6000 mAh Battery | 16GB RAM with RAM Plus | Android 13 | Without Charger ",3.7 out of 5 stars,526  ,"20,999",No description available
"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus ",4.1 out of 5 stars,"25,322  ","11,649",No description available
"Redmi 12C (Mint Green, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery ",3.9 out of 5 stars,"4,137  ","7,699",No description available
